locus_tag	gene_symbol	product	type	sys	LanzaTech	MeOH	NO3_lowO2_slow_growth	NoCu	NoLanthanum	WT_control	WithLanthanum	aa3_KO	crotonic_acid	highCu	highO2_slow_growth	lowCH4	lowCu	lowO2_fast_growth	lowO2_slow_growth	medCu	slow_growth	uMax	unknown	pc1	pc2	pc3	tsne1	tsne2
EQU24_RS00005	dnaA	chromosomal replication initiator protein DnaA	CDS	other	-0.7909158418202611	-0.92680017394411	-0.4686745644447493	0.0	-0.4072480252357236	-0.3416863620547338	-0.32269070078706696	-0.7236642799577407	-0.19682783220650008	0.10999715604699775	0.5468590667989223	-0.5247290670972609	-0.04545254035974286	-0.31158322189787985	-1.5411839175840547	0.0184994267858208	-0.2851333045001281	0.23094029866285432	-1.115546250006517	0.24177553347381414	0.7651389216072803	0.18321007290769384	-1.9148774	5.8598924
EQU24_RS00010		DNA polymerase III subunit beta	CDS	other	-0.09779468011405815	-1.6569487129860276	-0.44990544336322785	0.0	-0.448812473058322	-0.6394841008890483	-0.5128901249976138	-0.39026132774574274	-0.18326375247727278	0.40788690647460324	0.7315442240343835	-0.8306483391466952	0.037730775213521285	-0.46645063946046494	-1.3850210371611293	0.12468246321694978	-0.2841928396392784	0.00873084317304222	-1.5224537905763496	0.3368696470698739	0.9720272273988625	0.9277184147466205	2.5106492	8.978842
EQU24_RS00015	recF	DNA replication/repair protein RecF	CDS	other	-1.259407874443593	-0.6155482352043478	-0.4050244293938287	0.0	-0.2868930116036171	-0.8668024572995429	-0.45363186312534226	-1.2402184973263328	0.22955291138779263	0.24649934792527245	0.6662904699408836	-0.6126379396205477	0.02830983349128748	-0.048960130134233046	-1.4870314382542236	0.05756963005962807	-0.7285584741414934	0.2639953638972089	-1.2065101101812756	0.3362096276563976	1.2215025512662967	-0.07354373469298399	-2.161474	6.635175
EQU24_RS00020	gyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	CDS	other	0.4365117313048742	-1.6375835385432338	0.1321495304727388	0.0	0.012106726015551418	-0.05047833668282026	0.007897923133954918	-0.024631203952285345	0.4545872856736458	0.36811201832197904	0.4755261131632112	-0.40332074513472876	0.11596865069010028	-0.2143195370026066	-1.250406109847411	0.20281660123259665	0.19768092121557976	0.322579404372856	-0.9403927967879764	-1.0081649010535105	0.8965037090089447	1.0150342990300953	4.2743926	8.772565
EQU24_RS00025		hypothetical protein	CDS	other	-0.18812825652782325	-1.555651774121648	-0.25781722062655826	0.0	-0.2343939977582382	-0.49337782552835185	-0.5409621993967475	-0.5902800839187091	0.00022700241885962986	-0.034491867562998414	0.6433698724572925	-0.6555422836363394	0.03227721721507069	-0.5748524621096701	-1.4650728993675395	-0.03248442356623459	-0.1566036565906317	-0.03491087467749619	-0.7565525383911449	0.25001233211228197	0.4599116721122604	0.6073052489791665	-0.37141594	3.1913743
EQU24_RS00030		DUF2283 domain-containing protein	CDS	other	-0.45814537077858575	-1.6339333050606522	-0.26645442973841804	0.0	0.12750995455307226	-0.5173465820065754	0.26710147816724783	-0.41856521321525714	-0.040115835443848016	-0.17599782481937906	0.5606858845794949	-0.6596700060297538	-0.29392484465623603	-0.5245418753884987	-1.3860789106295694	-0.5450273097141044	-0.09915633316007083	-0.28758359232939085	-2.422173706299419	0.9414721159844582	-0.8569617080602183	0.03798261261437814	-8.190133	2.6633115
EQU24_RS00035		hypothetical protein	CDS	other	-1.2076512899489535	-0.89604572848794	-0.4950979574801869	0.0	0.33044187500874683	-0.45285321450689936	0.44157592067805485	-0.6980453936810016	-0.2265116980821805	0.18991207509435631	0.2613713965129784	-0.12145006417829603	-0.11954674974514355	-0.1692732725458086	-1.6500047528379116	-0.025092643472961928	-0.34529550569814366	0.07647243143460643	-0.557978295109899	0.06300048341438858	0.4325511872951335	-0.40868700537890995	-1.5058639	4.1895657
EQU24_RS00040		TolC family protein	CDS	other	-0.6431938055866365	-2.0673874941678743	-1.2626839369628318	0.0	-0.42228429655810173	-0.7074100623356641	-0.34843540860760575	-0.913919163754892	-0.3394787804603826	0.3592312230494692	-0.18067985749294793	-1.1229573942731734	-0.01660204933196564	-1.3927556083588777	-2.8561381352949597	-0.04546855077323221	-0.17906495794517818	-0.9107708018706733	-2.3189886897748786	2.2973508233291287	0.7527047600209258	0.4807715743285391	-8.240512	7.146698
EQU24_RS00045		efflux RND transporter periplasmic adaptor subunit	CDS	other	-0.640207792692799	-2.326091520755658	-1.2936419556948173	0.0	-0.9105774579481763	-0.38895699720522026	-0.9123753161675996	-0.5607328252331121	-0.028297478663081396	0.46177123279659316	-0.34454661108036977	-1.5003401579743105	-0.049995434647548104	-1.5387027252596965	-3.2541498460800313	-0.18712767680635176	-0.38601402511188737	-1.019442322001755	-1.3452066043016577	2.472406262294549	0.6083678969987474	0.4441170939988036	-8.280057	7.173795
EQU24_RS00050		efflux RND transporter permease subunit	CDS	other	-0.0608450209043452	-1.4990384795763756	-0.9549187125676009	0.0	-0.6581402669308669	-0.256530350087159	-0.6442913903363913	-0.5128041036058366	0.3722790274474495	0.3323031012500083	-0.14479121237724918	-1.0299204472259642	-0.01114138848102551	-0.986973001118343	-2.960741469608092	-0.12840383729158703	-0.4337125455331074	-0.6122430665333636	-0.9375831514406486	1.2260890339936683	0.8680166616492327	-0.02956425983480196	-8.333185	7.2286687
EQU24_RS00055		DUF3240 domain-containing protein	CDS	other	-0.31987330817333187	-1.576444182189907	-1.0657599554842112	0.0	-0.3945019411958228	-0.4220589076600079	-0.44393553184309137	-0.6377222224800204	0.30487718932104435	0.06814117807723086	-0.27781317987190485	-0.9021332150985487	-0.016859044080087992	-1.1097333723712512	-3.2984010209680092	-0.1589590928615845	-0.6774112441567491	-0.7326210023387282	-1.2501260110809658	1.6923640327366838	0.7544648814933594	-0.2221359127133539	-8.317051	7.2101445
EQU24_RS00060		bifunctional diguanylate cyclase/phosphodiesterase	CDS	other	-1.0488342031375923	-1.342098898244643	-0.2384623358426384	0.0	0.33972353470089645	-0.17852363604111215	0.26828345512488044	-0.33399696650985433	-0.2423563782864234	0.09505181552264914	-0.4769017244629418	-1.0757205102296945	-0.06496732629865239	0.0036266667830239098	-1.087800983869483	-0.07606576814993694	0.14661388888128202	0.002610381156264529	-1.2606657502877932	0.37802856629421905	-0.007571714954386844	0.6793948702150925	-3.6753507	2.8072207
EQU24_RS00065		DUF839 domain-containing protein	CDS	other	-0.24082271635944438	-0.25995736913865886	0.05206904669675302	0.0	0.4925131098348912	-0.298111961488472	0.4354459969062429	-0.428659232808262	-0.0049444439775377545	-0.05255110353275346	0.333431771380896	-0.4508673344660139	-0.1943275705559218	0.504936588090638	-1.3234580605318507	-0.04242506447406906	0.04430653440788084	0.5336409743000197	-0.019885696368353592	-1.034871739777855	0.1734364281737892	-0.6522728475510954	6.1281643	-0.6663314
EQU24_RS00070	tatA	twin-arginine translocase TatA/TatE family subunit	CDS	other	-0.7652073900683701	-1.7552930243655718	-0.01815930013805146	0.0	-0.19645293338553152	-0.05550911564373366	-0.6965380458122552	-0.24638333881353838	-0.1540435513892201	0.5158216694958724	0.4942237458569942	-0.9888237580405018	0.3041451711520053	0.49811420025008113	-0.6440392546501812	-0.1128460321925665	0.4395570050978086	0.2675067986310225	-1.4098277917653805	-0.45369873227112445	0.8185575675489443	1.852723524430747	1.0461701	4.0759997
EQU24_RS00075	tatB	twin-arginine translocase subunit TatB	CDS	other	-1.448251479943129	-0.3670223088038168	0.17655680008545796	0.0	0.14927628401316018	0.021675589895316063	0.6994924197443488	-0.008216032026292041	0.22198248285759753	0.6694940061491187	-0.25200373946592936	-0.16818902391822926	0.4358719052824461	0.6196284010985138	-0.26268507429565857	0.4022326921587339	0.9577403551254221	0.31166229546344926	-0.2963876359054032	-1.8712428805990837	1.4134787490812597	1.4592086474695254	11.047952	0.29863265
EQU24_RS00080		hypothetical protein	CDS	other	-1.5096590189850136	-0.5467306846334827	-0.5167950853360701	0.0	0.10260525321755551	-1.2060708066208672	0.30813127411872104	-1.1295759061985793	-0.277302788730481	-0.21241187927861452	0.31548581638450046	-0.6043674855294145	-0.2554070738203483	-0.48850838444798284	-1.6834301487208716	-0.23359771806067445	-0.6835340876303728	0.27521443793415973	-0.5424110601320178	0.9283144482520856	0.002152789231879987	-1.0121159780640787	-6.2073812	0.41781074
EQU24_RS00085		prolipoprotein diacylglyceryl transferase	CDS	other	-0.2964583387909325	-0.858872327119506	-0.2670421011019919	0.0	0.11088400903278597	-0.19547544632532102	-0.09850656002500907	-0.166940746642746	0.7043713726487447	0.5099608322181769	0.38103973010279574	-0.4106507496723823	0.0606184746542007	-0.28294326263339337	-1.7775099933242076	0.4109335363125884	-0.9450634073402401	0.47687785176354125	-0.6338188036280815	-0.6968823108119653	1.6040038657822924	0.17066228188470228	5.168833	6.972424
EQU24_RS00090	thyA	thymidylate synthase	CDS	other	-0.1714923071296023	-0.6013483415069204	0.014396785264086215	0.0	0.7813986172592502	-0.4365958019530982	1.1569743704612723	-0.604360858316487	0.5048170258345785	0.10643293312308412	0.36546942828734164	-0.29507808004136415	-0.06059121859951675	-0.038716453850716995	-0.7906908553414358	-0.0008680800308226473	-0.4436513534649811	0.40538176407346677	-0.41730322704176015	-0.9884968547087674	0.20654706266303302	-0.3637496794610846	5.797585	-1.4959257
